,text,user_location,location,Lat,Lon
110877,RT @freakymarko: The perfect song for #ImpeachmentDay https://t.co/p4Vf4RAzaU,"Washington, DC","Washington, District of Columbia, United States",38.8950368,-77.0365427
48884,Not all people from Indiana sounds like that #ImpeachmentDay,"Austin, TX","Austin, Travis County, Texas, United States",30.2711286,-97.7436995
75241,The United States at the peak of its democracy is over. China is going to be only the World's next superpower wheth… https://t.co/3Y7xX2RwLK,Myanmar,မြန်မာ,17.1750495,95.9999652
91676,"RT @AlbaNorth5: Three wives, two impeachments, one term.  ByeDon! #ImpeachmentDay https://t.co/Cszpw7JUvl",Raleigh NC USA,"Raleigh, Wake County, North Carolina, United States",35.7803977,-78.6390989
57617,"RT @thehill: Rep. Maxine Waters: ""[Trump] is capable of starting a civil war."" #impeachmentday https://t.co/MCZ4DkcrUl","PHL, 215","Philadelphia International Airport, Kaiser Drive, Folcroft, Delaware County, Pennsylvania, 19032, United States",39.875018,-75.23521278969667
65034,"RT @heyshutupsmalls: Cori Bush bringing the SMOKE! White Supremacist in Chief! Ok, girl! #ImpeachmentDay",Alternate Universe ,"Alternate Universe, Nerang, Gold Coast City, Queensland, 4211, Australia",-27.9693437,153.2970723
73870,"RT @thehill: Rep. Adam Schiff: ""America has been through a civil war, world wars, a great depression, pandemics, McCarthyism, and now a Tru…","Connecticut, USA","Connecticut, United States",41.6500201,-72.7342163
5014,RT @KAMILLE_07: Officially impeached....twice. What a loser lol #TrumpImpeachment #ImpeachmentDay,"Orlando, FL","Orlando, Orange County, Florida, United States",28.5421109,-81.3790304
102549,"If you think #ImpeachmentDay is outrageous, I'd love your thoughts on the Trump administration's practice of separa… https://t.co/wjsCmzYMYk",In the hearts and minds,"Hearts and Minds childcare, Euxton Lane, Euxton, Chorley, Lancashire, North West England, England, PR7 6DL, United Kingdom",53.670731,-2.6558054
99452,RT @BBCJonSopel: Fun (well really not fun) stat of the day. There are now more troops on deployment in Washington DC than there are in Afgh…,"East Midlands, England","East Midlands, England, United Kingdom",52.7965611,-0.6717947564067988
116105,"Clearly, what we are watching from the GOP today is what we learned at Harvard Law School as the ""Earth is Flat"" ar… https://t.co/iMAXPqPx2Q","Arlington, VA","Arlington, Tarrant County, Texas, United States",32.701938999999996,-97.10562379033699
107004,"NEW: Rep. @IlhanMN: ""We must impeach and remove this President from the office immediately so that he cannot be a t… https://t.co/h3sdxPephg",United States,United States,39.7837304,-100.4458825
56741,"RT @JohnFugelsang: ""But despite 3 recounts &amp; many investigations, the results are clear: Biden won Georgia. The idea that our election was…",Norway,Norge,60.5000209,9.0999715
52873,"RT @thehill: Rep. Hakeem Jeffries: ""Donald Trump is a living, breathing impeachable offense."" #ImpeachmentDay https://t.co/mZKzuFKo9z",USA,United States,39.7837304,-100.4458825
77691,"RT @votevets: Donald Trump must be impeached. 
His actions to incite an insurrection must be held accountable. 
#ImpeachmentDay #TraitorTru…","Portland, OR","Portland, Metro, Multnomah County, Oregon, United States",45.5202471,-122.6741949
106388,RT @BleedingMarine: It’s not up to Democrats to reach out to Republicans. It’s up to Republicans to stop lying to their supporters &amp; clean…,"The Woodlands, TX","The Woodlands, Montgomery County, Texas, United States",30.1734194,-95.504686
83044,"Is there a single Republican in that chamber who isn't an absolute nutcase?

@DebbieLesko, give us a number: How ma… https://t.co/nHUFkfqEyY","Madison, WI","Madison, Dane County, Wisconsin, United States",43.074761,-89.3837613
123828,"RT @DPWIMM: RT if you think today would be a great day to Impeach Donald J Trump!
#ImpeachmentDay #RemoveTrumpNow  #wednesdaythought",Norden,"Norden, Landkreis Aurich, Niedersachsen, 26506, Deutschland",53.5942039,7.2067435
47704,"RT @AdamReakes: Most Republicans: “...a very dangerous precedent!”

Six Republicans who remember what happened a week ago: “...a very dange…","San Antonio, TX","San Antonio, Bexar County, Texas, United States",29.4246002,-98.4951405
72518,"RT @RBReich: He incited an attempted coup last Wednesday. Today the House must impeach him. By Friday, the Senate must convict him. He must…",United States,United States,39.7837304,-100.4458825
7252,"RT @EssyJoe3: Happy birthday @oluwajohnnymo  🎊🎉
#ImpeachmentDay 
Rihanna || Chris brown || RIP Dele || sterling https://t.co/Wyd8TNUj90","T𝚎𝚖𝚊, G𝙷𝙰𝙽𝙰","T, RD HUE-13, San Antonio Huista, Huehuetenango, Guatemala",15.647889,-91.7729331
131797,"The sweet taste of Victory!
#ImpeachmentDay 
#ImpeachTrumpAgainNOW https://t.co/Bbpe2KHDax","Houston, TX","Houston, Harris County, Texas, United States",29.7589382,-95.3676974
